$bivariate
   category1           category2   N1   N2 N12     alpha.X2     alpha.G2         beta
1    PV.Time             PV.Move 1189  174  55   0.04204268     0.032284    0.4391353
2    PV.Time        PV.Discourse 1189   68  39  0.002927973   0.00225712    0.1269658
3    PV.Time             PV.Qual 1189   62  22    0.6351393    0.5421252    0.9069924
4    PV.Time         PV.Position 1189   47   4 2.751314e-05 1.446325e-06  0.008569143
5    PV.Time           TA.speech 1189 1124 351 6.691334e-12 3.613471e-12 3.853626e-07
6    PV.Time        TA.cognitive 1189  852 356    0.0752316    0.0692975    0.5554089
7    PV.Time               TA.do 1189  839 389 7.233465e-07 6.666262e-07  0.001196326
8    PV.Time             TA.food 1189   96  36    0.8096173    0.7278053    0.9360839
9    PV.Time      TA.money.count 1189   66  30    0.3552259    0.2965741    0.8167637
10   PV.Time    NA.persons.actor 1189  199 103 0.0002346892 0.0002089006   0.03644198
11   PV.Time            Sg.actor 1189  179  99 7.786073e-06 7.224249e-06  0.004799725
12   PV.Time NDA.Relations.actor 1189   83  50 0.0001101968 8.860074e-05   0.02164031
13   PV.Time             actor.1 1189 1070 343 3.365714e-09 2.086879e-09 3.280877e-05
14   PV.Time             actor.4 1189  152  75   0.01101699  0.009349766    0.2522466
15   PV.Time              goal.3 1189 1510 549  0.001589212  0.001392196    0.1083948
16   PV.Time              goal.4 1189  704 325 1.917693e-05 1.762197e-05  0.009178201
17   PV.Time              goal.2 1189  177  64    0.4380471    0.3904373    0.8630096
18   PV.Time     NA.persons.goal 1189  396 192 6.261133e-05 5.789522e-05   0.01795353
19   PV.Time          Px3Pl.goal 1189   20   8            1      0.94161    0.9493838
20   PV.Move        PV.Discourse  174   68   6    0.3990579    0.3020101    0.8020745
21   PV.Move             PV.Qual  174   62  11 0.0001275201 0.0007781558    0.0158913
22   PV.Move         PV.Position  174   47   3            1    0.8502623     0.945768
23   PV.Move           TA.speech  174 1124  68    0.6256765    0.5708792    0.9122081
24   PV.Move        TA.cognitive  174  852  28 0.0003995739 0.0001319966   0.04773065
25   PV.Move               TA.do  174  839  64  0.007308775  0.007021393    0.2090407
26   PV.Move             TA.food  174   96   3    0.3706172    0.2240594    0.7989654
        power effect.size likelihood.ratio    cramers.v   lambda.12  lambda.21
1   0.5608647   0.0383687         4.583352   0.03691662           0          0
2   0.8730342  0.05630405         9.327728   0.05402316 0.008410429          0
3   0.0930076  0.01100228        0.3716151  0.008615991           0          0
4   0.9914309  0.07887198         23.21806   0.07613812           0          0
5   0.9999996   0.1253362         48.32376    0.1246371           0          0
6   0.4445911  0.03305499         3.299582   0.03230367           0          0
7   0.9988037  0.09072667         24.70927    0.0899718           0          0
8  0.06391614 0.006303363        0.1211364   0.00437458           0          0
9   0.1832363  0.01910132         1.089536   0.01678691           0          0
10   0.963558  0.06815577         13.74928   0.06679198   0.0058873          0
11  0.9952003  0.08261623         20.13292   0.08118333  0.01597981          0
12  0.9783597  0.07228549          15.3653   0.07021573  0.01429773          0
13  0.9999672   0.1080682         35.89084    0.1073615           0          0
14  0.7477534  0.04770775         6.754765   0.04616008           0          0
15  0.8916052  0.05801558          10.2161   0.05734022           0 0.05165563
16  0.9908218  0.07841117         18.43045   0.07761134           0          0
17  0.1369904  0.01552178        0.7375797   0.01408131           0          0
18  0.9820465   0.0736834         16.17028   0.07268117           0          0
19 0.05061624 0.001331556      0.005365043 2.999803e-16           0          0
20  0.1979255  0.02010102         1.065297   0.01531258           0          0
21  0.9841087  0.07457597         11.29263   0.06956624           0          0
22 0.05423198 0.003485653       0.03563932 1.499647e-16           0          0
23 0.08779194   0.0103256        0.3212136  0.008857771           0          0
24  0.9522693  0.06586262         14.61306   0.06428533           0          0
25  0.7909593  0.05029198         7.267488   0.04870723           0          0
26  0.2010346  0.02030626         1.478181   0.01625702           0          0
         tau.12       tau.21        uc.12        uc.21       uc.sym p.lambda.12
1   0.001472157  0.001472157  0.001128332  0.003439682  0.001699252         NaN
2   0.003170146  0.003170146  0.002296306   0.01432909  0.003958279   0.2232961
3  0.0001210503 0.0001210503 9.148443e-05 0.0006141328 0.0001592467         NaN
4    0.00622079   0.00622079  0.005715837   0.04787418   0.01021239         NaN
5    0.01570917   0.01570917   0.01189637   0.01208358   0.01198925         NaN
6   0.001092632  0.001092632 0.0008122933 0.0009160276 0.0008610473         NaN
7   0.008231329  0.008231329  0.006082945  0.006907163  0.006468906         NaN
8  3.973239e-05 3.973239e-05 2.982143e-05  0.000142196   4.9303e-05         NaN
9  0.0003648605 0.0003648605 0.0002682226  0.001713636 0.0004638432         NaN
10  0.004645208  0.004645208  0.003384807  0.009360888  0.004971844   0.6187068
11  0.006825442  0.006825442  0.004956335   0.01479999  0.007425845   0.1522551
12  0.005225192  0.005225192  0.003782638   0.02018952  0.006371529   0.0601794
13   0.01167874   0.01167874  0.008835629  0.009114509  0.008972902         NaN
14  0.002276029  0.002276029  0.001662892  0.005599788    0.0025643         NaN
15  0.003365807  0.003365807  0.002515007  0.002429759  0.002471648         NaN
16  0.006148312  0.006148312  0.004537219  0.005607645  0.005015959         NaN
17 0.0002409256 0.0002409256 0.0001815778 0.0005466657 0.0002726076         NaN
18  0.005429244  0.005429244  0.003980811  0.006880051  0.005043464         NaN
19 1.773041e-06 1.773041e-06  1.32077e-06 2.228648e-05 2.493751e-06         NaN
20 0.0004040511 0.0004040511 0.0007994769   0.00163649  0.001074182         NaN
21  0.005561575  0.005561575   0.00847481   0.01866225   0.01165631         NaN
22 1.214977e-05 1.214977e-05 2.674634e-05 7.348602e-05 3.921852e-05         NaN
23  0.000106618  0.000106618 0.0002410621 8.032096e-05 0.0001204938         NaN
24  0.004337885  0.004337885   0.01096671  0.004056867  0.005922754         NaN
25  0.002529284  0.002529284  0.005454054  0.002031534  0.002960381         NaN
26 0.0004123442 0.0004123442  0.001109335  0.001735163  0.001353404         NaN
   p.lambda.21     p.tau.12     p.tau.21      p.uc.12      p.uc.21 var.lambda.12
1          NaN   0.03462485   0.03462485    0.2773845    0.2761098             0
2          NaN  0.001933223  0.001933223    0.1302461     0.124425  4.769547e-05
3          NaN    0.5446307    0.5446307    0.7590341    0.7588742             0
4          NaN 1.405659e-05 1.405659e-05  0.004556358  0.001993637             0
5          NaN 5.146934e-12 5.146934e-12 0.0004432325 0.0004422199             0
6          NaN   0.06873971   0.06873971    0.3646697    0.3646242             0
7          NaN 5.861144e-07 5.861144e-07     0.013235   0.01316578             0
8          NaN    0.7285268    0.7285268    0.8614822    0.8614634             0
9          NaN     0.292897     0.292897    0.6042739    0.6036124             0
10         NaN 0.0001747994 0.0001747994   0.06613306    0.0643985  0.0001399346
11         NaN 5.386374e-06 5.386374e-06   0.02615128   0.02456359  0.0001245929
12         NaN 6.882854e-05 6.882854e-05    0.0517136   0.04706755  5.787089e-05
13         NaN 2.671218e-09 2.671218e-09  0.002499777  0.002493353             0
14         NaN  0.008615135  0.008615135    0.1976927    0.1957211             0
15  0.06214994  0.001400508  0.001400508    0.1096443    0.1096714             0
16         NaN 1.577339e-05 1.577339e-05   0.03256513   0.03239283             0
17         NaN    0.3927255    0.3927255    0.6660904    0.6659621             0
18         NaN 4.964897e-05 4.964897e-05   0.04585811   0.04524031             0
19         NaN    0.9415513    0.9415513    0.9708192    0.9708183             0
20         NaN    0.2683654    0.2683654    0.6277758    0.6274248             0
21         NaN 4.018366e-05 4.018366e-05    0.1470925    0.1427979             0
22         NaN     0.847795     0.847795    0.9260062    0.9260014             0
23         NaN    0.5696517    0.5696517    0.7775524    0.7775909             0
24         NaN  0.000287141  0.000287141   0.04002338   0.04182047             0
25         NaN  0.005618418  0.005618418    0.1865722    0.1881974             0
26         NaN     0.263509     0.263509     0.502258    0.5018237             0
   var.lambda.21   var.tau.12   var.tau.21    var.uc.12    var.uc.21 ASE.lambda.12
1              0 1.781639e-06 1.781639e-06 1.079055e-06 9.974727e-06             0
2              0 4.424785e-06 4.424785e-06 2.303063e-06 8.697473e-05   0.006906191
3              0 1.536897e-07 1.536897e-07 8.894608e-08 4.002787e-06             0
4              0 3.537164e-06 3.537164e-06 4.059687e-06 0.0002398581             0
5              0 1.965395e-05 1.965395e-05 1.146822e-05  1.18279e-05             0
6              0 1.458618e-06 1.458618e-06 8.029477e-07  1.02093e-06             0
7              0 1.112328e-05 1.112328e-05 6.028949e-06 7.761715e-06             0
8              0 5.157128e-08 5.157128e-08 2.920971e-08 6.639361e-07             0
9              0 5.019863e-07 5.019863e-07 2.678477e-07 1.089297e-05             0
10             0 6.480395e-06 6.480395e-06 3.393153e-06  2.56193e-05    0.01182939
11             0 9.521072e-06 9.521072e-06 4.966703e-06 4.333648e-05    0.01116212
