$bivariate
   category1           category2   N1   N2 N12     alpha.X2     alpha.G2        beta
1    PV.Time             PV.Qual 1442  133  61  0.004768705  0.004313423   0.1697276
2    PV.Time        PV.Discourse 1442  120  65 3.957377e-06 4.830241e-06 0.002967576
3    PV.Time         PV.Position 1442   95  26     0.198723     0.155692    0.713666
4    PV.Time          PV.WantCan 1442   45  23   0.02343769   0.01838599   0.3211874
5    PV.Time               AI.do 1442 1649 536   0.09148066   0.08482063   0.5943591
6    PV.Time          AI.cooking 1442  222  81    0.4798961    0.4382078   0.8780707
7    PV.Time           AI.health 1442   99  38    0.4189093    0.3642445   0.8498242
8    PV.Time               RdplW 1442  114  43    0.4639341    0.4087474   0.8676018
9    PV.Time    NA.persons.actor 1442  545 217  0.002862648  0.002702611   0.1421824
10   PV.Time            Sg.actor 1442  392 137    0.7429874    0.7016182   0.9329576
11   PV.Time            Pl.actor 1442  224  99  0.001317085  0.001259429  0.09263586
12   PV.Time NDA.Relations.actor 1442  164  69   0.03395929   0.02993774   0.4033627
13   PV.Time             actor.3 1442 2222 811 0.0005262472 0.0004602836   0.0618365
14   PV.Time             actor.1 1442 1251 393   0.01987929   0.01762205   0.3430279
15   PV.Time             actor.2 1442  207  63    0.2902815    0.2531641   0.7949672
16   PV.Qual        PV.Discourse  133  120   3    0.8855083    0.6717246   0.9305882
17   PV.Qual         PV.Position  133   95   0    0.1393135   0.01323609   0.5729886
18   PV.Qual          PV.WantCan  133   45   0    0.4322635   0.08915941   0.7711558
19   PV.Qual               AI.do  133 1649  56    0.5065444    0.4524696   0.8826574
20   PV.Qual          AI.cooking  133  222  12   0.07385629    0.0694139   0.4899345
21   PV.Qual           AI.health  133   99   2    0.7215923    0.4894924   0.9007127
22   PV.Qual               RdplW  133  114   2    0.5557227    0.3492972   0.8616496
23   PV.Qual    NA.persons.actor  133  545  20    0.5326473    0.4597438   0.8824877
24   PV.Qual            Sg.actor  133  392  19   0.06033672   0.05743962   0.4719381
25   PV.Qual            Pl.actor  133  224   8    0.8562594    0.7110297   0.9334856
26   PV.Qual NDA.Relations.actor  133  164   7    0.5389376    0.4226069   0.8655312
        power effect.size likelihood.ratio   cramers.v    lambda.12 lambda.21
1   0.8302724  0.04481219         8.146925   0.0433834            0         0
2   0.9970324  0.07242167         20.90345  0.07091987  0.006934813         0
3    0.286334   0.0214387         2.015578  0.01975592            0         0
4   0.6788126  0.03726651         5.558992  0.03483613 0.0006934813         0
5   0.4056409  0.02645335         2.970023  0.02594219            0         0
6   0.1219293  0.01197788        0.6009711  0.01085977            0         0
7   0.1501758  0.01407455        0.8232059  0.01242533            0         0
8   0.1323982  0.01279782         0.682441  0.01125813            0         0
9   0.8578176  0.04658494         8.998095  0.04584073            0         0
10 0.06704239 0.005900288        0.1467939 0.005040439            0         0
11  0.9073641  0.05049143         10.40106  0.04937805            0         0
12  0.5966373   0.0338885         4.712864  0.03259693            0         0
13  0.9381635  0.05379394         12.27006  0.05329476            0         0
14  0.6569721  0.03634155         5.633337  0.03579526            0         0
15  0.2050328  0.01741158         1.305758  0.01625583            0         0
16 0.06941184 0.006293152        0.1795914   0.0022134            0         0
17  0.4270114  0.02729643         6.137278  0.02272506            0         0
18  0.2288442  0.01867418         2.889485  0.01207192            0         0
19  0.1173426  0.01159904        0.5644581  0.01021044            0         0
20  0.5100655  0.03051469         3.296826  0.02747729            0         0
21 0.09928729  0.00995772        0.4776418 0.005477487            0         0
22  0.1383504   0.0132399        0.8760086 0.009057216            0         0
23  0.1175123  0.01161329        0.5465184 0.009591595            0         0
24  0.5280619  0.03120923         3.609812   0.0288734            0         0
25  0.0665144 0.005808996        0.1372506  0.00278443            0         0
26  0.1344688  0.01295344        0.6430544 0.009444801            0         0
         tau.12       tau.21        uc.12        uc.21       uc.sym p.lambda.12
1   0.002008132  0.002008132  0.001500395  0.006891575  0.002464281         NaN
2   0.005244898  0.005244898  0.003849727   0.01914814  0.006410604   0.3596392
3  0.0004596177 0.0004596177  0.000371203  0.002216879 0.0006359244         NaN
4   0.001388793  0.001388793  0.001023783   0.01115236  0.001875405   0.8814566
5  0.0006997796 0.0006997796 0.0005469804 0.0005248358 0.0005356793         NaN
6  0.0001434695 0.0001434695 0.0001106791 0.0003451977 0.0001676162         NaN
7   0.000198093  0.000198093 0.0001516074 0.0008764809 0.0002585011         NaN
