$bivariate
      category1    category2  N1  N2 N12     alpha.X2     alpha.G2        beta
1       PV.Time PV.Discourse 863  58  32    0.1078249   0.08288788   0.5860426
2       PV.Time  PV.Position 863  39   3  8.61328e-06 3.547563e-07 0.003997189
3       PV.Time TA.cognitive 863 580 247    0.4477152     0.418145   0.8723017
4       PV.Time    TA.speech 863 576 258    0.6790958    0.6430314   0.9250323
5       PV.Time   Prox.actor 863  31  16    0.4964965    0.3904435   0.8614236
6       PV.Time      actor.1 863 567 209 6.243969e-05 4.634846e-05  0.01814777
7       PV.Time      actor.2 863  84  35    0.7449285    0.6609937   0.9277814
8       PV.Time       goal.3 863 897 368   0.01738041   0.01527491   0.3212299
9       PV.Time       goal.4 863 529 270 0.0001610876 0.0001357506  0.03111837
10      PV.Time       goal.1 863 392 167    0.5754034    0.5368772   0.9053766
11      PV.Time       goal.2 863 134  52    0.2455152    0.2085741   0.7600224
12      PV.Time      Sg.goal 863 195  92     0.383885    0.3447161   0.8426897
13      PV.Time   Px1Sg.goal 863  67  38   0.04433425   0.03348702   0.4300583
14      PV.Time    Prox.goal 863  66  32    0.5333224    0.4551015   0.8836573
15 PV.Discourse  PV.Position  58  39   0     0.532963     0.124123   0.8037268
16 PV.Discourse TA.cognitive  58 580  22    0.2034175    0.1657516   0.7057388
17 PV.Discourse    TA.speech  58 576  21     0.309458    0.2541505   0.7864536
18 PV.Discourse   Prox.actor  58  31   0    0.6562517    0.1708426   0.8349193
19 PV.Discourse      actor.1  58 567  14    0.5060591    0.4086856     0.87172
20 PV.Discourse      actor.2  58  84   2            1    0.7424689   0.9383263
21 PV.Discourse       goal.3  58 897  23    0.4195532    0.3444815   0.8440347
22 PV.Discourse       goal.4  58 529  13    0.5207311    0.4194162     0.87555
23 PV.Discourse       goal.1  58 392  16    0.1922234    0.1575974   0.6873688
24 PV.Discourse       goal.2  58 134   6    0.4161815      0.31317   0.8101074
25 PV.Discourse      Sg.goal  58 195   3    0.3130286    0.1798534   0.7660829
26 PV.Discourse   Px1Sg.goal  58  67   2            1    0.9886758   0.9499769
        power effect.size likelihood.ratio    cramers.v   lambda.12 lambda.21
1   0.4139574  0.03933478         3.007346   0.03630356 0.006952491         0
2   0.9960028   0.1041275         25.92601    0.1004492           0         0
3   0.1276983  0.01826562        0.6555229   0.01714051           0         0
4  0.07496766  0.01046709        0.2147994  0.009339705           0         0
5   0.1385764   0.0194692        0.7375603   0.01535209 0.001158749         0
6   0.9818522  0.09151402          16.5919   0.09038139           0         0
7  0.07221857 0.009880957        0.1923188  0.007344793           0         0
8   0.6787701  0.05472941          5.88448    0.0536988           0         0
9   0.9688816  0.08634417         14.56022   0.08518722  0.01274623         0
10 0.09462344   0.0139292        0.3813582   0.01264518           0         0
11  0.2399776  0.02825326         1.581296   0.02621798           0         0
12  0.1573103  0.02137449        0.8928131   0.01965845           0         0
13  0.5699417   0.0482258         4.520705   0.04539882  0.01042874         0
14  0.1163427  0.01691123         0.557915   0.01406366           0         0
15  0.1962732  0.02485553         2.364508   0.01407601           0         0
16  0.2942612  0.03201134         1.920954   0.02871408           0         0
17  0.2135464  0.02624944         1.300343   0.02294553           0         0
18  0.1650807  0.02211414         1.875534   0.01004853           0         0
19    0.12828  0.01833213         0.682621   0.01501286           0         0
20 0.06167369 0.007182464        0.1079685 1.526529e-17           0         0
21  0.1559653  0.02124372        0.8936818   0.01822342           0         0
22    0.12445   0.0178894        0.6519505   0.01449885           0         0
23  0.3126312  0.03320297          1.99713   0.02944002           0         0
24  0.1898926  0.02432047         1.017259   0.01835588           0         0
25  0.2339171  0.02780588         1.798835   0.02277683           0         0
26 0.05002315 0.000320918     0.0002014502 9.034918e-16           0         0
         tau.12       tau.21        uc.12        uc.21       uc.sym p.lambda.12
1   0.001547225  0.001547225  0.001117369  0.005753085  0.001871294   0.4291823
2    0.01084253   0.01084253  0.009632719   0.06772095   0.01686635         NaN
3  0.0003336329 0.0003336329 0.0002435572 0.0002751664 0.0002583988         NaN
4    0.00010956   0.00010956 7.980796e-05 9.043071e-05 8.478791e-05         NaN
5  0.0003790498 0.0003790498 0.0002740379  0.002314517 0.0004900537   0.8573807
6   0.008374816  0.008374816  0.006164663   0.00703259  0.006570087         NaN
