$bivariate
     category1        category2  N1   N2 N12     alpha.X2     alpha.G2        beta
1      PV.Time       PV.WantCan 860   51  12   0.01707215  0.008852519   0.2845243
2      PV.Time      PV.Position 860   45   5 8.386717e-05 8.705254e-06  0.01673259
3      PV.Time        TI.speech 860  171  72    0.7615071    0.7009152   0.9328817
4      PV.Time NA.persons.actor 860  162  67    0.9291731    0.8634608   0.9466003
5      PV.Time         Sg.actor 860   93  40    0.7248344    0.6464233   0.9254339
6      PV.Time          actor.3 860 1195 514   0.01623334   0.01423802   0.3126491
7      PV.Time          actor.2 860  137  51    0.4408733    0.3872541   0.8617918
8      PV.Time          Sg.goal 860  586 223    0.1348246    0.1215294   0.6607598
9      PV.Time   NI.object.goal 860  512 190   0.06307453   0.05522133   0.5197351
10     PV.Time        Prox.goal 860  122  46     0.546302    0.4833036   0.8925498
11     PV.Time  NI.nominal.goal 860   95  41    0.6979316    0.6215959   0.9214947
12     PV.Time         Med.goal 860   94  40    0.7927336    0.7118582    0.934162
13     PV.Time           D.goal 860   54  19    0.4850003    0.3978972   0.8663717
14  PV.WantCan      PV.Position  51   45   0    0.5647093    0.1358779   0.8129144
15  PV.WantCan        TI.speech  51  171   2    0.3971981    0.2232335   0.8022274
16  PV.WantCan NA.persons.actor  51  162   3    0.8263264     0.613865   0.9225608
17  PV.WantCan         Sg.actor  51   93   1    0.6063984    0.3367459   0.8617847
18  PV.WantCan          actor.3  51 1195  34    0.1841858    0.1363502    0.687276
19  PV.WantCan          actor.2  51  137  11 3.486376e-05 0.0003385378 0.006813921
20  PV.WantCan          Sg.goal  51  586  29 5.550695e-06 1.027906e-05 0.003061251
21  PV.WantCan   NI.object.goal  51  512  23 0.0008000664  0.001002614  0.05959394
22  PV.WantCan        Prox.goal  51  122   6    0.1207173   0.09973078   0.5415058
23  PV.WantCan  NI.nominal.goal  51   95   5    0.1313773    0.1057901   0.5434539
24  PV.WantCan         Med.goal  51   94   5    0.1252958    0.1017048   0.5331543
25  PV.WantCan           D.goal  51   54   2     0.860265    0.5609069   0.9041777
26 PV.Position        TI.speech  45  171   3    0.9368333    0.7146852   0.9354044
        power effect.size likelihood.ratio   cramers.v lambda.12  lambda.21
1   0.7154757  0.05503915         6.852341  0.05190017         0          0
2   0.9832674  0.08891934         19.77636  0.08558249         0          0
3  0.06711828 0.008370571        0.1475215  0.00660412         0          0
4  0.05339965 0.003744781       0.02957383 0.001934118         0          0
5  0.07456608   0.0100081        0.2104394  0.00765953         0          0
6   0.6873509  0.05327439         6.008389  0.05230221         0          0
7   0.1382082  0.01872708        0.7475467  0.01677063         0          0
8   0.3392402  0.03361444         2.397499  0.03253825         0          0
9   0.4802649  0.04156841          3.67539  0.04044402         0          0
10  0.1074502  0.01519327        0.4913996  0.01312787         0          0
11 0.07850526  0.01077011        0.2436309 0.008445249         0          0
12 0.06583804 0.008054257         0.136428 0.005717637         0          0
13  0.1336283  0.01824719        0.7146719  0.01519443         0          0
14  0.1870856  0.02321037         2.224031  0.01253056         0          0
15  0.1977726   0.0240762         1.483463  0.01842255         0          0
16 0.07743919  0.01056957        0.2545849 0.004774417         0          0
17  0.1382153  0.01872782        0.9227807  0.01121106         0          0
18   0.312724  0.03200789         2.218674  0.02889638         0          0
19  0.9931861  0.09632783         12.84414  0.09006608         0          0
20  0.9969387   0.1022948         19.45885  0.09885041         0 0.01194539
21  0.9404061  0.07655403         10.82273  0.07295533         0          0
22  0.4584942  0.04037655         2.709843  0.03376606         0          0
23  0.4565461  0.04026961          2.61601  0.03282871         0          0
24  0.4668457  0.04083439         2.678605  0.03335587         0          0
25 0.09582227  0.01360109        0.3381364 0.003830511         0          0
26 0.06459558 0.007734498        0.1336422 0.001724469         0          0
         tau.12       tau.21        uc.12        uc.21       uc.sym p.lambda.12
1   0.003029308  0.003029308  0.002400395   0.01425901  0.004109061         NaN
2   0.007906648  0.007906648  0.006927717   0.04541907   0.01202177         NaN
3  7.006646e-05 7.006646e-05 5.167721e-05 0.0001242328 7.299193e-05         NaN
4  1.402339e-05 1.402339e-05  1.03598e-05 2.586915e-05 1.479475e-05         NaN
5   0.000100162  0.000100162 7.371751e-05   0.00027592 0.0001163498         NaN
6    0.00283816   0.00283816  0.002104756  0.002078197  0.002091392         NaN
7  0.0003507034 0.0003507034 0.0002618677 0.0007369226   0.00038642         NaN
